,ID,Gender,Car,Reality,inc,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,wkphone,phone,email,famsize,begin_month,dep_value,target,ChldNo_0,ChldNo_1,ChldNo_2More,gp_inc_high,gp_inc_low,gp_inc_medium,Age,gp_Age_high,gp_Age_highest,gp_Age_low,gp_Age_lowest,gp_Age_medium,worktm,gp_worktm_high,gp_worktm_highest,gp_worktm_low,gp_worktm_lowest,gp_worktm_medium,famsizegp_1,famsizegp_2,famsizegp_3more,inctp_Commercial associate,inctp_State servant,inctp_Working,occyp_Laborwk,occyp_Other,occyp_hightecwk,occyp_officewk,houtp_Co-op apartment,houtp_House / apartment,houtp_Municipal apartment,houtp_Office apartment,houtp_Rented apartment,houtp_With parents,edutp_Higher education,edutp_Incomplete higher,edutp_Lower secondary,edutp_Secondary / secondary special,famtp_Civil marriage,famtp_Married,famtp_Separated,famtp_Single / not married,famtp_Widow
2,5008806.0,1.0,1.0,1.0,11.25,-21474.0,-1134.0,1.0,0,0,0,2,-29.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,58.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
30,5008844.0,1.0,1.0,1.0,11.25,-20502.0,-4450.0,1.0,0,1,0,2,-43.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
31,5008846.0,1.0,1.0,1.0,11.25,-20502.0,-4450.0,1.0,0,1,0,2,-11.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
32,5008847.0,1.0,1.0,1.0,11.25,-20502.0,-4450.0,1.0,0,1,0,2,-46.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
33,5008849.0,1.0,1.0,1.0,11.25,-20502.0,-4450.0,1.0,0,1,0,2,-51.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
34,5008850.0,1.0,1.0,1.0,11.25,-20502.0,-4450.0,1.0,0,1,0,2,-25.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
35,5008851.0,1.0,1.0,1.0,11.25,-20502.0,-4450.0,1.0,0,1,0,2,-11.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
36,5008852.0,1.0,1.0,1.0,11.25,-20502.0,-4450.0,1.0,0,1,0,2,0.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
37,5008853.0,1.0,1.0,1.0,11.25,-20502.0,-4450.0,1.0,0,1,0,2,-39.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
146,5008981.0,1.0,1.0,1.0,11.25,-20874.0,-2381.0,1.0,0,1,0,2,-10.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,6.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
147,5008983.0,1.0,1.0,1.0,11.25,-20874.0,-2381.0,1.0,0,1,0,2,-58.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,6.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
148,5008984.0,1.0,1.0,1.0,11.25,-20874.0,-2381.0,1.0,0,1,0,2,-58.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,6.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
149,5008986.0,1.0,1.0,1.0,11.25,-20874.0,-2381.0,1.0,0,1,0,2,-10.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,6.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
150,5008987.0,1.0,1.0,1.0,11.25,-20874.0,-2381.0,1.0,0,1,0,2,-10.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,6.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
151,5008988.0,1.0,1.0,1.0,11.25,-20874.0,-2381.0,1.0,0,1,0,2,-16.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,6.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
161,5009001.0,1.0,0.0,1.0,16.65,-18926.0,-6276.0,1.0,1,1,0,2,-40.0,No,0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,0.0,0.0,0.0,0.0,17.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
162,5009002.0,1.0,0.0,1.0,16.65,-18926.0,-6276.0,1.0,1,1,0,2,-44.0,No,0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,0.0,0.0,0.0,0.0,17.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
163,5009005.0,1.0,0.0,1.0,16.65,-18926.0,-6276.0,1.0,1,1,0,2,-35.0,No,0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,0.0,0.0,0.0,0.0,17.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
164,5009006.0,1.0,0.0,1.0,16.65,-18926.0,-6276.0,1.0,1,1,0,2,-45.0,No,0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,0.0,0.0,0.0,0.0,17.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
165,5009007.0,1.0,0.0,1.0,16.65,-18926.0,-6276.0,1.0,1,1,0,2,-59.0,No,0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,0.0,0.0,0.0,0.0,17.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
166,5009008.0,1.0,0.0,1.0,16.65,-18926.0,-6276.0,1.0,1,1,0,2,-9.0,No,0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,0.0,0.0,0.0,0.0,17.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
167,5009009.0,1.0,0.0,1.0,16.65,-18926.0,-6276.0,1.0,1,1,0,2,-32.0,No,0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,0.0,0.0,0.0,0.0,17.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
168,5009010.0,1.0,0.0,1.0,16.65,-18926.0,-6276.0,1.0,1,1,0,2,-12.0,No,0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,0.0,0.0,0.0,0.0,17.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
169,5009012.0,1.0,0.0,1.0,16.65,-18926.0,-6276.0,1.0,1,1,0,2,-5.0,No,0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,0.0,0.0,0.0,0.0,17.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
170,5009014.0,1.0,0.0,1.0,16.65,-18926.0,-6276.0,1.0,1,1,0,2,-35.0,No,0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,0.0,0.0,0.0,0.0,17.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
218,5009083.0,1.0,0.0,1.0,9.0,-20531.0,-5730.0,1.0,0,0,0,2,-51.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,15.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
219,5009084.0,1.0,0.0,1.0,9.0,-20531.0,-5730.0,1.0,0,0,0,2,-2.0,No,0,1.0,0.0,0.0,0.0,1.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,15.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
260,5009151.0,0.0,0.0,0.0,18.0,-19575.0,-2901.0,1.0,0,0,0,2,-29.0,No,0,1.0,0.0,0.0,0.0,0.0,1.0,53.0,1.0,0.0,0.0,0.0,0.0,7.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
261,5009152.0,0.0,0.0,0.0,18.0,-19575.0,-2901.0,1.0,0,0,0,2,-47.0,No,0,1.0,0.0,0.0,0.0,0.0,1.0,53.0,1.0,0.0,0.0,0.0,0.0,7.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
262,5009153.0,0.0,0.0,0.0,18.0,-19575.0,-2901.0,1.0,0,0,0,2,-53.0,No,0,1.0,0.0,0.0,0.0,0.0,1.0,53.0,1.0,0.0,0.0,0.0,0.0,7.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
