,ID,Gender,Car,Reality,inc,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,wkphone,phone,email,famsize,begin_month,dep_value,target,ChldNo_0,ChldNo_1,ChldNo_2More,gp_inc_high,gp_inc_low,gp_inc_medium,Age,gp_Age_high,gp_Age_highest,gp_Age_low,gp_Age_lowest,gp_Age_medium,worktm,gp_worktm_high,gp_worktm_highest,gp_worktm_low,gp_worktm_lowest,gp_worktm_medium,famsizegp_1,famsizegp_2,famsizegp_3more,inctp_Commercial associate,inctp_State servant,inctp_Working,occyp_Laborwk,occyp_Other,occyp_hightecwk,occyp_officewk,houtp_Co-op apartment,houtp_House / apartment,houtp_Municipal apartment,houtp_Office apartment,houtp_Rented apartment,houtp_With parents,edutp_Higher education,edutp_Incomplete higher,edutp_Lower secondary,edutp_Secondary / secondary special,famtp_Civil marriage,famtp_Married,famtp_Separated,famtp_Single / not married,famtp_Widow
20,5008834.0,0.0,0.0,1.0,11.25,-10968.0,-1620.0,1.0,0,0,0,2,-44.0,No,0,0.0,1.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,4.0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
21,5008835.0,0.0,0.0,1.0,11.25,-10968.0,-1620.0,1.0,0,0,0,2,-44.0,No,0,0.0,1.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,4.0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
737,5009897.0,0.0,1.0,1.0,9.0,-11131.0,-405.0,1.0,0,0,0,4,-6.0,No,0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
738,5009898.0,0.0,1.0,1.0,9.0,-11131.0,-405.0,1.0,0,0,0,4,-6.0,No,0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
739,5009899.0,0.0,1.0,1.0,9.0,-11131.0,-405.0,1.0,0,0,0,4,-7.0,No,0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
748,5009914.0,0.0,0.0,1.0,9.9,-12752.0,-433.0,1.0,0,1,0,4,-53.0,No,0,0.0,0.0,1.0,0.0,1.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
749,5009915.0,0.0,0.0,1.0,9.9,-12752.0,-433.0,1.0,0,1,0,4,-29.0,No,0,0.0,0.0,1.0,0.0,1.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
750,5009916.0,0.0,0.0,1.0,9.9,-12752.0,-433.0,1.0,0,1,0,4,-26.0,No,0,0.0,0.0,1.0,0.0,1.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
751,5009917.0,0.0,0.0,1.0,9.9,-12752.0,-433.0,1.0,0,1,0,4,-19.0,No,0,0.0,0.0,1.0,0.0,1.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
752,5009918.0,0.0,0.0,1.0,9.9,-12752.0,-433.0,1.0,0,1,0,4,-12.0,No,0,0.0,0.0,1.0,0.0,1.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
