user,activity,x_mean,y_mean,z_mean
1.0,5,3.7699999999999996,9.120000000000001,-1.265
1.0,5,3.7979999999999996,9.94075,-0.35799999999999993
1.0,5,3.87325,9.7195,-0.2544999999999999
1.0,5,3.59675,9.883750000000001,-0.8560000000000001
1.0,5,3.6727499999999993,10.05,-0.7074999999999999
1.0,5,4.01875,9.9745,-0.68625
1.0,5,3.9252499999999997,10.08475,-0.3497499999999999
1.0,5,3.7352499999999997,9.979249999999999,-0.63975
1.0,5,3.6637500000000003,9.85325,-0.7550000000000001
1.0,5,3.5509999999999997,9.969999999999999,-0.41025
1.0,5,3.39675,10.1525,-0.7989999999999999
1.0,5,3.5070000000000006,10.1065,-0.44325000000000003
1.0,5,3.1037499999999993,10.24675,-0.787
1.0,5,3.25125,10.32375,-0.96675
1.0,5,3.4265,10.10575,-0.7295
1.0,5,3.5385000000000004,10.127500000000001,-0.5900000000000001
1.0,5,3.253,10.258750000000001,-0.11275000000000004
1.0,5,2.8745,10.241,-0.78175
1.0,5,3.1412500000000003,10.10975,-0.77525
1.0,5,3.21225,10.20625,-0.42374999999999996
1.0,5,2.86575,10.16525,-0.59275
1.0,5,3.0695,10.272499999999999,-0.5427500000000001
1.0,5,3.1662500000000002,10.279250000000001,-0.23849999999999993
1.0,5,2.95075,10.160499999999999,-0.41550000000000004
1.0,5,2.97775,10.27375,-0.8985
1.0,5,2.78325,10.270249999999999,-0.585
1.0,5,2.8495000000000004,10.26625,-0.576
1.0,5,2.61125,10.20025,-0.5740000000000001
1.0,5,2.50275,10.235,-0.63125
1.0,5,2.3600000000000003,10.3025,-0.7182499999999999
1.0,5,2.26525,10.413499999999999,-0.3217499999999999
1.0,5,2.5732500000000003,10.363,-0.49474999999999997
1.0,5,2.53725,10.347,-0.62175
1.0,5,2.3630000000000004,10.332749999999999,-0.61725
1.0,5,2.2362499999999996,10.13625,-0.42375000000000007
1.0,5,2.6622500000000002,10.326249999999998,-0.48324999999999996
1.0,5,2.4222499999999996,10.354,-0.3107499999999999
1.0,5,2.22175,10.281749999999999,-0.3987499999999999
1.0,5,2.4274999999999998,10.289750000000002,-0.43224999999999997
1.0,5,2.4595,10.408750000000001,-0.5269999999999999
1.0,5,2.36975,10.31925,-0.5865
1.0,5,2.125,10.242750000000001,-0.60475
1.0,5,2.29925,10.266499999999999,-0.51325
1.0,5,2.3577500000000002,10.447,-0.23649999999999988
1.0,5,2.376,10.43125,-0.44399999999999995
1.0,5,1.9912500000000002,10.43625,-0.5519999999999999
1.0,5,2.14625,10.477500000000001,-0.39425000000000004
1.0,5,2.1615,10.3765,-0.49874999999999997
1.0,5,2.1237500000000002,10.4,-0.47775
1.0,5,1.839,10.5225,-0.6792499999999999
1.0,5,1.7897500000000002,10.56625,-0.46824999999999994
1.0,5,2.0915,10.468,-0.49250000000000005
1.0,5,1.6039999999999999,10.49475,-0.43125
1.0,5,1.844,10.422749999999999,-0.4089999999999999
1.0,5,1.746,10.397749999999998,-0.617
1.0,5,1.973,10.47275,-0.41225000000000006
1.0,5,1.8094999999999999,10.36475,-0.7607499999999999
1.0,5,1.9195,10.190000000000001,-0.7309999999999999
1.0,5,1.8052500000000002,10.20325,-0.667
1.0,5,2.00775,10.38175,-0.52375
1.0,5,2.065,10.151750000000002,-0.406
1.0,5,2.00975,10.289250000000001,-0.64075
1.0,5,2.194,10.5045,-0.42699999999999994
1.0,5,2.1120000000000005,10.42925,-0.27875
1.0,5,2.187,10.450999999999999,-0.45525000000000004
1.0,5,1.6772500000000001,10.677,-0.48
1.0,5,1.7674999999999996,10.495999999999999,-0.40599999999999997
1.0,5,1.334,10.57175,-0.5295
1.0,5,1.43975,10.31475,-0.3777499999999999
1.0,5,1.4224999999999999,10.37775,-0.12725
1.0,5,1.794,10.56075,-0.23775000000000007
1.0,5,1.8359999999999999,10.573,-0.29250000000000004
1.0,5,1.2309999999999999,10.6955,-0.309
1.0,5,1.5619999999999998,10.59975,-0.29175000000000006
1.0,5,1.4937500000000001,10.339,-0.62525
1.0,5,1.7335,10.55325,-0.1154999999999999
1.0,5,2.0284999999999997,10.512249999999998,-0.4915
1.0,5,1.7342499999999998,10.544999999999998,-0.36674999999999996
1.0,5,2.0502499999999997,10.455250000000001,-0.39149999999999996
1.0,5,1.1454999999999997,10.602250000000002,-0.23774999999999996
1.0,5,1.7027499999999995,10.508750000000001,-0.30875
1.0,5,1.791,10.56275,-0.269
1.0,5,1.6994999999999998,10.66625,-0.37424999999999997
1.0,5,1.64525,10.555250000000001,-0.5102500000000001
1.0,5,1.642,10.48575,-0.48200000000000004
1.0,5,1.468,10.550749999999999,-0.5602500000000001
1.0,5,1.9939999999999998,10.616,-0.4035
1.0,5,1.3395,10.764,-0.8612500000000001
1.0,5,1.08025,10.596250000000001,-0.7162499999999999
1.0,5,1.081,10.791,-0.9014999999999999
1.0,5,1.2942500000000001,10.45125,-0.7712499999999999
